model,model_name,method,method_name,requested_candidate_slots,n,q1_retained_score,median_retained_score,q3_retained_score,metric,simulation_chain,source_artifacts
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3000,150,1.2256832,1.3225584000000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3100,150,1.22940315,1.3234215,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3200,150,1.2393213249999999,1.3431207000000001,1.5209677499999998,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3300,150,1.2461385250000001,1.34921135,1.5260648000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3400,150,1.2461385250000001,1.3624377000000001,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3500,150,1.2492204249999999,1.36624105,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3600,150,1.2609352249999999,1.36969765,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3700,150,1.2686817749999999,1.36969765,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3800,150,1.2751155000000001,1.3724639500000002,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3900,150,1.279895,1.3734325000000001,1.5457520250000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4000,150,1.279895,1.3734325000000001,1.552484025,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4100,150,1.2828904249999999,1.3847544000000001,1.552484025,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4200,150,1.288741425,1.3847544000000001,1.5558203749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4300,150,1.2894061749999999,1.3913568999999999,1.5558203749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4400,150,1.2894061749999999,1.3913568999999999,1.5558203749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4500,150,1.291015775,1.3941097,1.5589411,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4600,150,1.2971769499999999,1.400377,1.5589411,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4700,150,1.2971769499999999,1.400377,1.56734555,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4800,150,1.3036991,1.4048609999999999,1.56734555,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,4900,150,1.3138241750000001,1.4284186999999999,1.5963380250000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5000,150,1.31908775,1.43013675,1.5963380250000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,5100,150,1.3225626500000001,1.4320086999999999,1.6280534499999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
