series,series_name,requested_candidate_slots,n,q1_retained_score,median_retained_score,q3_retained_score,metric,lso_simulation_chain,mini_simulation_chain,lso_source_artifacts,mini_source_artifacts,comparison_scope
tree_lso,TreeVAE-80 + latent EA,1200,150,1.0642536250000001,1.2181505500000001,1.42528605,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,1300,150,1.0805077000000001,1.2254798499999999,1.42528605,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,1400,150,1.0902280500000001,1.23069775,1.4331492000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,1500,150,1.1076593749999999,1.2378981499999999,1.4331492000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,1600,150,1.1094004500000001,1.2459625000000001,1.434987,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,1700,150,1.1190666,1.2513060499999999,1.434987,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,1800,150,1.12522575,1.2542702999999999,1.434987,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,1900,150,1.14294165,1.2615986499999998,1.4355243500000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2000,150,1.1494685499999999,1.2672224999999999,1.4429080750000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,2100,150,1.1665649,1.2726635499999999,1.4478061499999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
