model,model_name,epoch,training_epochs_planned,validation_exact_count,validation_n,validation_exact_percent,average_string_similarity_percent,selected_epoch,source_log
09_tree_vae_epoch80,TreeVAE-80,300,1000,101,2178,4.6399999999999997,65.799999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,310,1000,130,2178,5.9699999999999998,66.159999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,320,1000,98,2178,4.5,65.359999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,330,1000,100,2178,4.5899999999999999,64.840000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,340,1000,93,2178,4.2699999999999996,64.480000000000004,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,350,1000,101,2178,4.6399999999999997,64.700000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,360,1000,104,2178,4.7800000000000002,64.849999999999994,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,370,1000,91,2178,4.1799999999999997,64.709999999999994,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,380,1000,77,2178,3.54,63.920000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,390,1000,68,2178,3.1200000000000001,63.939999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,400,1000,68,2178,3.1200000000000001,63.5,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,410,1000,65,2178,2.98,63.039999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,420,1000,55,2178,2.5299999999999998,62.649999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,430,1000,45,2178,2.0699999999999998,62.530000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,440,1000,49,2178,2.25,62.670000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,450,1000,35,2178,1.6100000000000001,61.799999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,460,1000,32,2178,1.47,61.479999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,470,1000,30,2178,1.3799999999999999,61.240000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,480,1000,24,2178,1.1000000000000001,60.539999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,490,1000,24,2178,1.1000000000000001,59.920000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,500,1000,21,2178,0.95999999999999996,59.200000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,510,1000,16,2178,0.72999999999999998,59.640000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,520,1000,18,2178,0.82999999999999996,59.060000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,530,1000,17,2178,0.78000000000000003,58.630000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,540,1000,9,2178,0.40999999999999998,58.57,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
