dataset_idx,genotype,fitness,selected_manifest_source,bucket_id,seed_rank,dataset_count_metadata,exact_dataset_max_metadata
2625,"(XCLQXCXCXX, LX)",0.379187769029811,no,,,10893,2.2952309520191614
2626,"XrLL(X, XXCqXXFXX)",0.526824726663771,no,,,10893,2.2952309520191614
2627,LXcMXrcXqXcXRXX,0.5518132596464904,no,,,10893,2.2952309520191614
2628,"RL(CCLQXXXFX,XrqX)",0.3446677359275974,no,,,10893,2.2952309520191614
2629,"(rCqX(cX, X, X), MXX)",0.3725635075544148,no,,,10893,2.2952309520191614
2630,FXLCXRCQFXCXLX,0.38617688222881524,no,,,10893,2.2952309520191614
2631,"L(RCRCXCXQXX, ,RmFX)",0.8098017089025458,no,,,10893,2.2952309520191614
2632,"F(QQXQLCCXMX, cX,qX)",0.3986700634838352,no,,,10893,2.2952309520191614
2633,L(RqXcXccqLXXrXX),0.42416020151372075,no,,,10893,2.2952309520191614
2634,LCXQCfXXXCCQXXX,0.5340819476350063,no,,,10893,2.2952309520191614
2635,"(RRLCXCfXXXX, rXmX)",0.9074704106190796,no,,,10893,2.2952309520191614
2636,"RQ(, LXCCCXL(rMX, ), qX)",0.5707398077302748,no,,,10893,2.2952309520191614
2637,"CF(CqXXL(,RX), LXXX)",0.3949547341243859,no,,,10893,2.2952309520191614
2638,XLmXrCqCXXQXX,0.369712624422066,no,,,10893,2.2952309520191614
2639,"L(LXX, QXXCCXQXMmX)",0.5158057258637049,no,,,10893,2.2952309520191614
2640,"(QLXMXcX(LcX), RcmX)",0.6338641647592744,no,,,10893,2.2952309520191614
2641,(QXLqCCXfXqcCCXXfXCX),0.6149212908999808,no,,,10893,2.2952309520191614
2642,"L(CqXqmXQCXlX, r(RX))",0.44000042129592365,no,,,10893,2.2952309520191614
2643,(XXcXq cqXcMXMLfXX),0.5550633906551372,no,,,10893,2.2952309520191614
2644,"(L(qCXl(MXmXCXX)), LX)",0.5625479474379221,no,,,10893,2.2952309520191614
2645,"(LCXX, LqXXCFXXXX)",0.7543242187734214,no,,,10893,2.2952309520191614
2646,"(XLQQCXCXCXX,X)",0.5537862582139557,no,,,10893,2.2952309520191614
2647,"c((cqFXX(cFXrX), ), cfCmLX)",0.3376513892807116,no,,,10893,2.2952309520191614
2648,"(qXMXCXLXMX, MXX,)",0.49027623897964195,no,,,10893,2.2952309520191614
2649,MXrXCQXXLLXRCCXLXCX,0.6093409211002127,no,,,10893,2.2952309520191614
2650,"XRc(RXcXXX, X)",0.3756466993676221,no,,,10893,2.2952309520191614
2651,"X(XQcQcX(X(fX), ), X)",0.44343922932608065,no,,,10893,2.2952309520191614
2652,"F(,QcXXcX, cX)",0.24401121333182932,no,,,10893,2.2952309520191614
2653,"(,QFLX(cXXX), XQX)",0.3889583819819564,no,,,10893,2.2952309520191614
2654,X(LCX RCXRRCXrmCXXX),0.5588337664266911,no,,,10893,2.2952309520191614
2655,"(MRRlcXcXX, XCXCXX)",0.3547455004893578,no,,,10893,2.2952309520191614
2656,"L(rCCXFXqXX, XX)",0.2157231037169222,no,,,10893,2.2952309520191614
2657,"CQ(RXCXLX, XRCXX)",0.4736846045042595,no,,,10893,2.2952309520191614
2658,"XL(RMXRCMQCXRqmXXX, X)",0.5359632260661946,no,,,10893,2.2952309520191614
2659,"XLF(,LQXCXXFQCXXX, X)",0.6385690015942064,no,,,10893,2.2952309520191614
2660,"(XLfX, qLcLXXLccXXX)",0.6329813113401457,no,,,10893,2.2952309520191614
2661,"(fX,(XRXmFX), qLXXCCXX)",0.39195233626424686,no,,,10893,2.2952309520191614
2662,X(CCCXQQLCXXCXX),0.4672604022106544,no,,,10893,2.2952309520191614
2663,"rXQ(LXRccXfXR(fX),)",0.4782876990172027,no,,,10893,2.2952309520191614
2664,XX((qcrFcXX XLX)),0.2318161500331112,no,,,10893,2.2952309520191614
2665,"qXrX(FXXcXcqXX(XX), X)",0.5677201628451314,no,,,10893,2.2952309520191614
2666,"L(QX, qmcXXcXXX)",0.4221136561558883,no,,,10893,2.2952309520191614
2667,XXRCLQXQCLXXCXX,0.5376345384299639,no,,,10893,2.2952309520191614
2668,XcLMXRmQcXcmXQMX,0.3547010323896431,no,,,10893,2.2952309520191614
2669,"X(qXXL(QQcXX, ), RqFX)",0.32059065473465953,no,,,10893,2.2952309520191614
2670,XrrcccMXcXXX,0.6372153564333394,no,,,10893,2.2952309520191614
2671,"R(QXmcXLX, RQXqCXX)",0.3523584369634972,no,,,10893,2.2952309520191614
2672,(mXqCXXqLLCXCCqLCXCXXX),0.644784739693842,no,,,10893,2.2952309520191614
2673,"Xcc(CX(X, X), RRXMXXX)",0.41545174505242055,no,,,10893,2.2952309520191614
2674,"(CMXRQXL(FFcX, ), fX)",0.386503054333045,no,,,10893,2.2952309520191614
